2022-10-31 19:42:17.072 [main] INFO  m.s.SpringbootLogbackDemoApplication - Starting SpringbootLogbackDemoApplication v0.0.1-SNAPSHOT using Java 16.0.2 on mao with PID 368 (H:\程序\大四上期\springboot_logback_demo\target\springboot_logback_demo-0.0.1-SNAPSHOT.jar started by mao in H:\程序\大四上期\springboot_logback_demo\target)
2022-10-31 19:42:17.078 [main] INFO  m.s.SpringbootLogbackDemoApplication - The following 1 profile is active: "dev"
2022-10-31 19:42:18.229 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-10-31 19:42:18.239 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-10-31 19:42:18.240 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-31 19:42:18.240 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-10-31 19:42:18.315 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-31 19:42:18.315 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1178 ms
2022-10-31 19:42:18.670 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-10-31 19:42:18.698 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-10-31 19:42:18.709 [main] INFO  m.s.SpringbootLogbackDemoApplication - Started SpringbootLogbackDemoApplication in 2.248 seconds (JVM running for 2.679)
